Rank,Name,Height_m,Height_f,Floors,City,Location,Year,Comments
16,Lakhta Center,462,"1,516",87 (+ 3 below ground),Saint Petersburg,Russia,2019,Tallest building in Europe and Russia; Northernmost skyscraper in the world
17,Landmark 81,461.2,"1,513",81 (+ 3 below ground),Ho Chi Minh City,Vietnam,2018,Tallest building in Vietnam
18,International Land-Sea Center,458,"1,503",98 (+ 4 below ground),Chongqing,China,2024,Tallest building in Chongqing
19,The Exchange 106,453.6,"1,488",95 (+ 6 below ground),Kuala Lumpur,Malaysia,2019,
20,Changsha IFS T1,452.1,"1,483",94 (+ 5 below ground),Changsha,China,2018,Tallest building in Hunan Province
21,Petronas Tower 1,451.9,"1,483",88 (+ 5 below ground),Kuala Lumpur,Malaysia,1998,Tallest buildings in the world from 1998 to 2004; tallest buildings built in the 20th century; Tallest twin buildings
21,Petronas Tower 2,451.9,"1,483",88 (+ 5 below ground),Kuala Lumpur,Malaysia,1998,Tallest buildings in the world from 1998 to 2004; tallest buildings built in the 20th century; Tallest twin buildings
23,Zifeng Tower,450,"1,480",89 (+ 5 below ground),Nanjing,China,2010,"Tallest building in Jiangsu Province, tied with Suzhou IFS"
23,Suzhou International Financial Center,450,"1,480",95 (+ 5 below ground),Suzhou,China,2019,"Tallest building in Jiangsu Province, tied with Zifeng Tower"
25,Wuhan Center,443.1,"1,454",88 (+ 4 below ground),Wuhan,China,2019,
26,Willis Tower,442.1,"1,450",108 (+ 3 below ground),Chicago,United States,1974,Tallest building in the world from 1974 to 1998 as Sears Tower; tallest building in Illinois
27,KK100,441.8,"1,449",98 (+ 4 below ground),Shenzhen,China,2011,
28,Guangzhou International Finance Center,438.6,"1,439",101 (+ 4 below ground),Guangzhou,China,2010,
29,111 West 57th Street,435.3,"1,428",84 (+ 2 below ground),New York City,United States,2021,Thinnest skyscraper in the world with a width-to-height ratio of about 1:24
30,Shandong International Financial Center,428,"1,404",88 (+ 4 below ground),Jinan,China,2025,Tallest building in Shandong Province
31,One Vanderbilt,427,"1,401",62 (+ 4 below ground),New York City,United States,2020,
32,432 Park Avenue,425.7,"1,397",85 (+ 3 below ground),New York City,United States,2015,
33,Marina 101,425,"1,394",101 (+ 6 below ground),Dubai,United Arab Emirates,2017,
34,Trump International Hotel and Tower,423.2,"1,388",98 (+ 2 below ground),Chicago,United States,2009,
35,270 Park Avenue,423,"1,388",60,New York City,United States,2025,
36,Minying International Trade Center T2,422.6,"1,386",85 (+ 3 below ground),Dongguan,China,2021,
37,Jin Mao Tower,420.5,"1,380",88 (+ 3 below ground),Shanghai,China,1999,
38,Nanjing Financial City Phase II Plot C Tower 1,416.6,"1,367",88,Nanjing,China,2025,
39,Princess Tower,413.4,"1,356",101 (+ 6 below ground),Dubai,United Arab Emirates,2012,
40,Al Hamra Tower,412.6,"1,354",80 (+ 3 below ground),Kuwait City,Kuwait,2011,Tallest building in Kuwait
41,International Finance Centre,412,"1,352",88 (+ 6 below ground),Hong Kong,Hong Kong,2003,
42,Haeundae LCT The Sharp Landmark Tower,411.6,"1,350",101 (+ 5 below ground),Busan,South Korea,2019,Tallest building in Busan
43,Ningbo Central Plaza,409,"1,342",80,Ningbo,China,2024,Tallest building in Zhejiang Province
44,Guangxi China Resources Tower,402.7,"1,321",86 (+ 3 below ground),Nanning,China,2020,Tallest building in Guangxi Province
45,Guiyang International Financial Center T1,401,"1,316",79 (+ 5 below ground),Guiyang,China,2020,Tallest building in Guizhou Province
46,Iconic Tower,393.8,"1,292",77 (+ 2 below ground),New Administrative Capital,Egypt,2023,Tallest building in Africa and Egypt
47,China Merchants Bank Global Headquarters Main Tower,393,"1,289",77,Shenzhen,China,2025,
48,China Resources Tower,392.5,"1,288",68 (+ 5 below ground),Shenzhen,China,2018,
49,23 Marina,392.4,"1,287",88 (+ 4 below ground),Dubai,United Arab Emirates,2012,
50,CITIC Plaza,390.2,"1,280",80 (+ 2 below ground),Guangzhou,China,1996,
51,Citymark Centre,388.3,"1,274",70 (+ 7 below ground),Shenzhen,China,2022,
52,Shum Yip Upperhills Tower 1,388.1,"1,273",80 (+ 3 below ground),Shenzhen,China,2020,
53,30 Hudson Yards,387.1,"1,270",73 (+ 1 below ground),New York City,United States,2019,
54,Public Investment Fund Tower,385,"1,263",72 (+ 4 below ground),Riyadh,Saudi Arabia,2021,Tallest building in Riyadh
55,Shun Hing Square,384,"1,260",69 (+ 3 below ground),Shenzhen,China,1996,
56,Eton Place Dalian Tower 1,383.2,"1,257",80 (+ 4 below ground),Dalian,China,2016,Tallest building in  Liaoning Province
57,Autograph Tower,382.9,"1,256",75 (+ 6 below ground),Jakarta,Indonesia,2022,Tallest building in Indonesia. Tallest building in the Southern Hemisphere.[72]
58,Logan Century Center 1,381.3,"1,251",82 (+ 4 below ground),Nanning,China,2018,
59,Burj Mohammed bin Rashid,381.2,"1,251",88 (+ 5 below ground),Abu Dhabi,United Arab Emirates,2014,
60,Empire State Building,381,"1,250",102 (+ 1 below ground),New York City,United States,1931,Tallest building in the world from 1931 to 1972
61,Elite Residence,380.5,"1,248",87 (+ 4 below ground),Dubai,United Arab Emirates,2012,
62,Ciel Dubai Marina,377,"1,237",81,Dubai,United Arab Emirates,2025,Tallest hotel in the world
63,Riverview Plaza,376,"1,234",73 (+ 3 below ground),Wuhan,China,2021,
64,Guangdong Business Center,375.5,"1,232",60 (+ 5 below ground),Guangzhou,China,2025,
65,Dabaihui Plaza,375.6,"1,232",70 (+ 4 below ground),Shenzhen,China,2021,
66,Central Plaza,373.9,"1,227",78 (+ 3 below ground),Hong Kong,Hong Kong,1992,Contains the highest church in the world
67,Federation Tower (East Tower),373.7,"1,226",93 (+ 4 below ground),Moscow,Russia,2016,Tallest building in Moscow
68,Hengfeng Guiyang Center Tower 1,373.5,"1,225",77 (+ 5 below ground),Guiyang,China,2025,
69,Dalian International Trade Center,370.2,"1,215",86 (+ 7 below ground),Dalian,China,2019,
69,Shanghai International Trade Center Tower 1,370,"1,210",70,Shanghai,China,2025,
69,Kempinski The Boulevard Dubai,370,"1,210",73 (+ 3 below ground),Dubai,United Arab Emirates,2017,
72,Haitian Center Tower 2,368.9,"1,210",73 (+ 6 below ground),Qingdao,China,2021,
73,Golden Eagle Tiandi Tower A,368.1,"1,208",77 (+ 4 below ground),Nanjing,China,2019,
74,Bank of China Tower,367.4,"1,205",72 (+ 4 below ground),Hong Kong,Hong Kong,1990,
75,Bank of America Tower,365.8,"1,200",55 (+ 3 below ground),New York City,United States,2009,
76,St. Regis Chicago,362.9,"1,191",101 (+ 5 below ground),Chicago,United States,2020,Tallest structure in the world designed by a woman
77,Almas Tower,360,"1,180",68 (+ 5 below ground),Dubai,United Arab Emirates,2008,
77,Ping An Finance Center Tower 1,360,"1,180",62 (+ 3 below ground),Jinan,China,2023,
79,Huiyun Center,359.2,"1,178",80,Shenzhen,China,2023,
80,Hanking Center,358.9,"1,177",65 (+ 5 below ground),Shenzhen,China,2018,
81,Greenland Group Suzhou Center,358,"1,175",77 (+ 3 below ground),Suzhou,China,2025,
81,City Tower 1,358,"1,175",94,Dubai,United Arab Emirates,2025,
83,Gevora Hotel,356.3,"1,169",75 (+ 2 below ground),Dubai,United Arab Emirates,2017,
84,Galaxy World Tower 1,356,"1,168",71 (+ 5 below ground),Shenzhen,China,2023,
84,Galaxy World Tower 2,356,"1,168",71 (+ 5 below ground),Shenzhen,China,2023,
84,Il Primo Tower,356,"1,168",79,Dubai,United Arab Emirates,2022,
87,JW Marriott Marquis Dubai Tower 1,355.4,"1,166",82 (+ 2 below ground),Dubai,United Arab Emirates,2012,
87,JW Marriott Marquis Dubai Tower 2,355.4,"1,166",82 (+ 2 below ground),Dubai,United Arab Emirates,2013,
89,Emirates Office Tower,354.6,"1,163",54,Dubai,United Arab Emirates,2000,
90,Raffles City Chongqing T3N,354.5,"1,163",79 (+ 3 below ground),Chongqing,China,2019,
90,Raffles City Chongqing T4N,354.5,"1,163",74 (+ 3 below ground),Chongqing,China,2019,
92,OKO – South Tower,354.2,"1,162",90 (+ 2 below ground),Moscow,Russia,2015,
93,CBRT Tower,352,"1,155",59,Istanbul,Turkey,2024,Tallest building in Turkey
93,The Marina Torch,352,"1,155",86 (+ 4 below ground),Dubai,United Arab Emirates,2011,
95,SkyTower at Pinnacle One Yonge,351.4,"1,153",106,Toronto,Canada,2026,Tallest building in Canada
96,Forum 66 Tower 1,350.6,"1,150",68 (+ 4 below ground),Shenyang,China,2015,
97,The Pinnacle,350.3,"1,149",60 (+ 6 below ground),Guangzhou,China,2012,
98,Xi'an Glory International Financial Center,350,"1,148",75 (+ 4 below ground),Xi'an,China,2021,Tallest building in Shaanxi Province
